181,-125,2334
181,-125,2334
181,-125,2334
181,-125,2334
181,-125,2334
181,-125,2334
181,-125,2334
181,-125,2334
181,-125,2334
181,-125,2334
117,-76,1797
93,-95,1785
116,-90,1696
98,-112,1672
56,-123,1745
83,-128,1648
87,-179,1702
575,-363,2098
221,-39,2252
180,-26,2260
234,-587,2030
-49,211,1939
-138,182,1948
-107,80,2135
-69,-97,2231
173,-69,2306
166,-73,2301
163,-71,2289
15,-320,2184
-210,-240,1693
-198,-242,1679
-203,-241,1676
197,-34,2286
197,-34,2286
130,-9,2231
131,-41,2220
131,-37,2224
43,-20,2226
1,-81,2242
109,-34,2232
164,-79,2253
173,-88,2266
12,181,2010
-197,499,1851
-203,505,1868
-196,506,1862
-193,505,1856
-184,500,1857
-190,498,1877
-204,481,1970
-190,534,1895
-189,499,1854
-215,463,1847
-191,498,1872
1,70,1948
-15,95,1944
-210,441,1933
-170,435,1893
222,-26,2164
216,-21,2175
217,-21,2175
170,169,2059
-61,296,1929
103,204,1979
178,87,2206
122,101,2103
41,129,1842
-16,208,1737
-84,299,1950
-67,307,1949
-71,306,1936
-28,309,1950
-13,299,1950
-12,301,1961
36,272,1951
94,333,2024
92,324,2015
75,300,2024
71,299,2002
77,302,2013
84,292,2043
99,269,2066
96,275,2050
106,275,2049
204,273,2175
31,274,1967
2,258,1884
-18,165,2056
-13,166,2048
-14,177,2003
-27,276,2054
-24,248,2090
-13,119,1902
220,200,2046
224,193,2016
293,221,1936
200,241,2012
56,-275,2084
38,-264,2075
38,-264,2076
27,-254,2075
403,-345,2066
422,-353,2008
422,-352,2002
395,-373,2023
55,-464,2094
48,-487,2093
48,-482,2100
-1,-521,1863
325,221,2393
-200,593,1928
-174,587,1904
-176,592,1900
-174,593,1898
-164,590,1903
-237,479,1945
-321,281,1856
-322,280,1855
-323,282,1856
-321,283,1861
-316,285,1878
-314,285,1886
-325,280,1866
-344,297,1827
-338,294,1823
-171,180,1950
-201,207,2041
-191,280,2089
-245,363,1948
-225,382,2113
-211,466,2118
-197,477,2164
-193,458,2174
-194,362,2205
-148,237,2156
-150,116,2111
-170,190,2184
-147,145,1985
-57,-86,1863
-30,-159,1844
-320,411,1802
-305,407,1787
-303,392,1778
-202,181,1872
-214,426,2219
-148,617,1979
-98,658,2034
-117,656,2146
-146,649,2152
-148,665,2174
-245,126,1936
-165,45,2043
-150,58,2081
-105,77,2131
13,-244,1859
4,-217,1845
-419,503,1938
-148,608,1966
-239,578,1939
-196,409,2107
-199,332,1992
-237,247,1973
-312,134,1981
-152,116,2087
-169,82,2051
-165,83,2055
-162,105,2096
-128,113,2140
-214,240,2087
-218,344,2094
-224,398,2177
-228,412,2182
-230,417,2188
-186,444,1880
-93,502,1854
-154,114,1968
-170,118,2027
-165,115,2030
-217,220,2047
-197,422,2073
-126,622,1943
-124,622,1940
-129,655,1999
-206,706,1996
-181,696,2012
-180,691,2013
-376,761,2463
-292,704,2424
